"plot_visit","plot","region","area","year","date","treatment_code","years_post","treatment","burns","thins","pileburns","monitoring_status"
"nc04_2002_04_05","nc04","North Cascades","company creek","2002","2002/08/02","04","05","thin_burn","1","1","0","04year05"
"nc04_2003_05_00","nc04","North Cascades","company creek","2003","2003/05/22","05","00","thin_burn_burn","2","1","0","05post00"
"nc04_2004_05_01","nc04","North Cascades","company creek","2004","2004/10/07","05","01","thin_burn_burn","2","1","0","05year01"
"nc04_2005_05_02","nc04","North Cascades","company creek","2005","2005/07/29","05","02","thin_burn_burn","2","1","0","05year02"
"nc04_2008_05_05","nc04","North Cascades","company creek","2008","2008/07/11","05","05","thin_burn_burn","2","1","0","05year05"
"nc04_2013_05_10","nc04","North Cascades","company creek","2013","2013/08/30","05","10","thin_burn_burn","2","1","0","05year10"
"nc04_2018_05_15","nc04","North Cascades","company creek","2018","2018/07/12","05","15","thin_burn_burn","2","1","0","05year15"
"nc05_1997_-1_-1","nc05","North Cascades","company creek","1997","1997/06/16","-1","-1","pretreatment_current","0","0","0","-1pre-1"
"nc05_1997_01_00","nc05","North Cascades","company creek","1997","1997/09/22","01","00","burn","1","0","0","01post00"
"nc05_1998_01_01","nc05","North Cascades","company creek","1998","1998/08/07","01","01","burn","1","0","0","01year01"
"nc05_1999_01_02","nc05","North Cascades","company creek","1999","1999/07/09","01","02","burn","1","0","0","01year02"
"nc05_2002_02_01","nc05","North Cascades","company creek","2002","2002/08/03","02","01","thin","0","1","0","02year01"
"nc05_2002_04_05","nc05","North Cascades","company creek","2002","2002/08/03","04","05","thin_burn","1","1","0","04year05"
"nc05_2003_05_00","nc05","North Cascades","company creek","2003","2003/05/23","05","00","thin_burn_burn","2","1","0","05post00"
"nc05_2004_05_01","nc05","North Cascades","company creek","2004","2004/10/08","05","01","thin_burn_burn","2","1","0","05year01"
"nc05_2005_05_02","nc05","North Cascades","company creek","2005","2005/07/30","05","02","thin_burn_burn","2","1","0","05year02"
"nc05_2008_05_05","nc05","North Cascades","company creek","2008","2008/07/13","05","05","thin_burn_burn","2","1","0","05year05"
"nc05_2013_05_10","nc05","North Cascades","company creek","2013","2013/08/30","05","10","thin_burn_burn","2","1","0","05year10"
"nc05_2018_05_15","nc05","North Cascades","company creek","2018","2018/07/12","05","15","thin_burn_burn","2","1","0","05year15"
"nc06_1996_-1_-1","nc06","North Cascades","boulder","1996","1996/07/17","-1","-1","pretreatment_current","0","0","0","-1pre-1"
"nc06_1996_01_00","nc06","North Cascades","boulder","1996","1996/10/03","01","00","burn","1","0","0","01post00"
"nc06_1997_01_01","nc06","North Cascades","boulder","1997","1997/07/23","01","01","burn","1","0","0","01year01"
"nc06_1998_01_02","nc06","North Cascades","boulder","1998","1998/08/21","01","02","burn","1","0","0","01year02"
"nc06_2002_01_05","nc06","North Cascades","boulder","2002","2002/04/18","01","05","burn","1","0","0","01year05"
"nc06_2002_01_06","nc06","North Cascades","boulder","2002","2002/04/18","01","06","burn","1","0","0","01year06"
"nc06_2007_02_01","nc06","North Cascades","boulder","2007","2007/07/31","02","01","thin","0","1","0","02year01"
"nc06_2011_04_15","nc06","North Cascades","boulder","2011","2011/07/10","04","15","thin_burn","1","1","0","04year15"
"nc06_2016_04_20","nc06","North Cascades","boulder","2016","2016/07/15","04","20","thin_burn","1","1","0","04year20"
"nc07_1996_-1_-1","nc07","North Cascades","boulder","1996","1996/08/07","-1","-1","pretreatment_current","0","0","0","-1pre-1"
"nc07_1996_01_00","nc07","North Cascades","boulder","1996","1996/10/03","01","00","burn","1","0","0","01post00"
"nc07_1997_01_01","nc07","North Cascades","boulder","1997","1997/06/27","01","01","burn","1","0","0","01year01"
"nc07_1998_01_02","nc07","North Cascades","boulder","1998","1998/06/26","01","02","burn","1","0","0","01year02"
"nc07_2002_01_05","nc07","North Cascades","boulder","2002","2002/04/19","01","05","burn","1","0","0","01year05"
"nc07_2002_01_06","nc07","North Cascades","boulder","2002","2002/04/19","01","06","burn","1","0","0","01year06"
"nc07_2007_02_01","nc07","North Cascades","boulder","2007","2007/07/31","02","01","thin","0","1","0","02year01"
"nc07_2011_04_15","nc07","North Cascades","boulder","2011","2011/07/08","04","15","thin_burn","1","1","0","04year15"
"nc07_2016_04_20","nc07","North Cascades","boulder","2016","2016/07/16","04","20","thin_burn","1","1","0","04year20"
"nc08_1996_-1_-1","nc08","North Cascades","boulder","1996","1996/08/09","-1","-1","pretreatment_current","0","0","0","-1pre-1"
"nc08_1996_01_00","nc08","North Cascades","boulder","1996","1996/10/03","01","00","burn","1","0","0","01post00"
"nc08_1997_01_01","nc08","North Cascades","boulder","1997","1997/07/01","01","01","burn","1","0","0","01year01"
"nc08_1998_01_02","nc08","North Cascades","boulder","1998","1998/06/26","01","02","burn","1","0","0","01year02"
"nc08_2002_01_05","nc08","North Cascades","boulder","2002","2002/04/20","01","05","burn","1","0","0","01year05"
"nc08_2002_01_06","nc08","North Cascades","boulder","2002","2002/04/20","01","06","burn","1","0","0","01year06"
"nc08_2007_02_01","nc08","North Cascades","boulder","2007","2007/07/31","02","01","thin","0","1","0","02year01"
"nc08_2011_04_15","nc08","North Cascades","boulder","2011","2011/08/08","04","15","thin_burn","1","1","0","04year15"
"nc08_2016_04_20","nc08","North Cascades","boulder","2016","2016/07/15","04","20","thin_burn","1","1","0","04year20"
"nc09_1997_-2_-2","nc09","North Cascades","bullion","1997","1997/08/06","-2","-2","pretreatment_early","0","0","0","-2pre-2"
"nc09_2000_-1_-1","nc09","North Cascades","bullion","2000","2000/08/05","-1","-1","pretreatment_current","0","0","0","-1pre-1"
"nc09_2002_02_01","nc09","North Cascades","bullion","2002","2002/08/05","02","01","thin","0","1","0","02year01"
"nc09_2005_04_00","nc09","North Cascades","bullion","2005","2005/05/07","04","00","thin_burn","1","1","0","04post00"
"nc09_2006_04_01","nc09","North Cascades","bullion","2006","2006/07/18","04","01","thin_burn","1","1","0","04year01"
"nc09_2007_04_02","nc09","North Cascades","bullion","2007","2007/07/29","04","02","thin_burn","1","1","0","04year02"
"nc09_2010_04_05","nc09","North Cascades","bullion","2010","2010/08/20","04","05","thin_burn","1","1","0","04year05"
"nc09_2015_04_10","nc09","North Cascades","bullion","2015","2015/07/16","04","10","thin_burn","1","1","0","04year10"
"nc09_2020_04_15","nc09","North Cascades","bullion","2020","2020/01/01","04","15","thin_burn","1","1","0","04year15"
"nc10_1997_-2_-2","nc10","North Cascades","company creek","1997","1997/07/30","-2","-2","pretreatment_early","0","0","0","-2pre-2"
"nc10_2000_-1_-1","nc10","North Cascades","company creek","2000","2000/08/06","-1","-1","pretreatment_current","0","0","0","-1pre-1"
"nc10_2002_02_01","nc10","North Cascades","company creek","2002","2002/08/06","02","01","thin","0","1","0","02year01"
"nc10_2003_04_00","nc10","North Cascades","company creek","2003","2003/05/23","04","00","thin_burn","1","1","0","04post00"
"nc10_2004_04_01","nc10","North Cascades","company creek","2004","2004/10/08","04","01","thin_burn","1","1","0","04year01"
"nc10_2005_04_02","nc10","North Cascades","company creek","2005","2005/08/26","04","02","thin_burn","1","1","0","04year02"
"nc10_2008_04_05","nc10","North Cascades","company creek","2008","2008/07/14","04","05","thin_burn","1","1","0","04year05"
"nc10_2013_04_10","nc10","North Cascades","company creek","2013","2013/08/31","04","10","thin_burn","1","1","0","04year10"
"nc10_2018_04_15","nc10","North Cascades","company creek","2018","2018/07/14","04","15","thin_burn","1","1","0","04year15"
"nc11_1997_-2_-2","nc11","North Cascades","company creek","1997","1997/08/04","-2","-2","pretreatment_early","0","0","0","-2pre-2"
"nc11_2000_-1_-1","nc11","North Cascades","company creek","2000","2000/08/04","-1","-1","pretreatment_current","0","0","0","-1pre-1"
"nc11_2002_02_01","nc11","North Cascades","company creek","2002","2002/08/05","02","01","thin","0","1","0","02year01"
"nc11_2003_04_00","nc11","North Cascades","company creek","2003","2003/05/22","04","00","thin_burn","1","1","0","04post00"
"nc11_2004_04_01","nc11","North Cascades","company creek","2004","2004/10/09","04","01","thin_burn","1","1","0","04year01"
"nc11_2005_04_02","nc11","North Cascades","company creek","2005","2005/08/26","04","02","thin_burn","1","1","0","04year02"
"nc11_2008_04_05","nc11","North Cascades","company creek","2008","2008/07/24","04","05","thin_burn","1","1","0","04year05"
"nc11_2013_04_10","nc11","North Cascades","company creek","2013","2013/09/01","04","10","thin_burn","1","1","0","04year10"
"nc11_2018_04_15","nc11","North Cascades","company creek","2018","2018/07/13","04","15","thin_burn","1","1","0","04year15"
"nc12_1997_-2_-2","nc12","North Cascades","bullion","1997","1997/08/07","-2","-2","pretreatment_early","0","0","0","-2pre-2"
"nc12_2000_-1_-1","nc12","North Cascades","bullion","2000","2000/08/05","-1","-1","pretreatment_current","0","0","0","-1pre-1"
"nc12_2002_02_01","nc12","North Cascades","bullion","2002","2002/08/05","02","01","thin","0","1","0","02year01"
"nc12_2007_02_05","nc12","North Cascades","bullion","2007","2007/07/15","02","05","thin","0","1","0","02year05"
"nc12_2008_02_02","nc12","North Cascades","bullion","2008","2008/07/24","02","02","thin","0","1","0","02year02"
"nc14_1998_-1_-1","nc14","North Cascades","company creek","1998","1998/07/13","-1","-1","pretreatment_current","0","0","0","-1pre-1"
"nc14_2002_02_01","nc14","North Cascades","company creek","2002","2002/08/05","02","01","thin","0","1","0","02year01"
"nc14_2003_04_00","nc14","North Cascades","company creek","2003","2003/05/22","04","00","thin_burn","1","1","0","04post00"
"nc14_2004_04_01","nc14","North Cascades","company creek","2004","2004/10/09","04","01","thin_burn","1","1","0","04year01"
"nc14_2005_04_02","nc14","North Cascades","company creek","2005","2005/08/27","04","02","thin_burn","1","1","0","04year02"
"nc14_2008_04_05","nc14","North Cascades","company creek","2008","2008/07/11","04","05","thin_burn","1","1","0","04year05"
"nc14_2013_04_10","nc14","North Cascades","company creek","2013","2013/09/01","04","10","thin_burn","1","1","0","04year10"
"nc14_2018_04_15","nc14","North Cascades","company creek","2018","2018/07/13","04","15","thin_burn","1","1","0","04year15"
"nc16_2001_-1_-1","nc16","North Cascades","bullion","2001","2001/08/02","-1","-1","pretreatment_current","0","0","0","-1pre-1"
"nc16_2002_02_01","nc16","North Cascades","bullion","2002","2002/08/05","02","01","thin","0","1","0","02year01"
"nc17_1998_-1_-1","nc17","North Cascades","orchard rainbow","1998","1998/07/21","-1","-1","pretreatment_current","0","0","0","-1pre-1"
"nc17_2001_02_01","nc17","North Cascades","orchard rainbow","2001","2001/08/04","02","01","thin","0","1","0","02year01"
"nc17_2002_04_00","nc17","North Cascades","orchard rainbow","2002","2002/06/22","04","00","thin_burn","1","1","0","04post00"
"nc17_2003_04_01","nc17","North Cascades","orchard rainbow","2003","2003/08/15","04","01","thin_burn","1","1","0","04year01"
"nc17_2004_04_02","nc17","North Cascades","orchard rainbow","2004","2004/08/14","04","02","thin_burn","1","1","0","04year02"
"nc17_2007_04_05","nc17","North Cascades","orchard rainbow","2007","2007/07/17","04","05","thin_burn","1","1","0","04year05"
"nc17_2012_04_10","nc17","North Cascades","orchard rainbow","2012","2012/07/22","04","10","thin_burn","1","1","0","04year10"
"nc17_2017_04_15","nc17","North Cascades","orchard rainbow","2017","2017/07/29","04","15","thin_burn","1","1","0","04year15"
"nc17_2018_05_00","nc17","North Cascades","orchard rainbow","2018","2018/11/01","05","00","thin_burn_burn","2","1","0","05post00"
"nc17_2020_05_02","nc17","North Cascades","orchard rainbow","2020","2020/07/03","05","02","thin_burn_burn","2","1","0","05year02"
"nc19_1997_-1_-1","nc19","North Cascades","orchard rainbow","1997","1997/07/22","-1","-1","pretreatment_current","0","0","0","-1pre-1"
"nc19_2002_02_01","nc19","North Cascades","orchard rainbow","2002","2002/08/03","02","01","thin","0","1","0","02year01"
"nc19_2003_04_00","nc19","North Cascades","orchard rainbow","2003","2003/05/24","04","00","thin_burn","1","1","0","04post00"
"nc19_2004_04_01","nc19","North Cascades","orchard rainbow","2004","2004/10/10","04","01","thin_burn","1","1","0","04year01"
"nc19_2005_04_02","nc19","North Cascades","orchard rainbow","2005","2005/08/27","04","02","thin_burn","1","1","0","04year02"
"nc19_2008_04_05","nc19","North Cascades","orchard rainbow","2008","2008/08/09","04","05","thin_burn","1","1","0","04year05"
"nc19_2013_04_10","nc19","North Cascades","orchard rainbow","2013","2013/09/02","04","10","thin_burn","1","1","0","04year10"
"nc19_2018_04_15","nc19","North Cascades","orchard rainbow","2018","2018/07/15","04","15","thin_burn","1","1","0","04year15"
"nc19_2018_05_00","nc19","North Cascades","orchard rainbow","2018","2018/10/31","05","00","thin_burn_burn","2","1","0","05post00"
"nc19_2020_05_02","nc19","North Cascades","orchard rainbow","2020","2020/07/04","05","02","thin_burn_burn","2","1","0","05year02"
"nc21_1996_-1_-1","nc21","North Cascades","company creek","1996","1996/05/29","-1","-1","pretreatment_current","0","0","0","-1pre-1"
"nc21_1997_01_00","nc21","North Cascades","company creek","1997","1997/09/20","01","00","burn","1","0","0","01post00"
"nc21_1998_01_01","nc21","North Cascades","company creek","1998","1998/06/28","01","01","burn","1","0","0","01year01"
"nc21_1999_01_02","nc21","North Cascades","company creek","1999","1999/05/28","01","02","burn","1","0","0","01year02"
"nc21_2002_01_05","nc21","North Cascades","company creek","2002","2002/07/17","01","05","burn","1","0","0","01year05"
"nc21_2003_02_01","nc21","North Cascades","company creek","2003","2003/08/12","02","01","thin","0","1","0","02year01"
"nc21_2004_05_00","nc21","North Cascades","company creek","2004","2004/05/22","05","00","thin_burn_burn","2","1","0","05post00"
"nc21_2005_05_01","nc21","North Cascades","company creek","2005","2005/08/13","05","01","thin_burn_burn","2","1","0","05year01"
"nc21_2006_05_02","nc21","North Cascades","company creek","2006","2006/06/03","05","02","thin_burn_burn","2","1","0","05year02"
"nc21_2009_05_05","nc21","North Cascades","company creek","2009","2009/07/11","05","05","thin_burn_burn","2","1","0","05year05"
"nc21_2014_05_10","nc21","North Cascades","company creek","2014","2014/07/03","05","10","thin_burn_burn","2","1","0","05year10"
"nc21_2019_05_15","nc21","North Cascades","company creek","2019","2019/06/02","05","15","thin_burn_burn","2","1","0","05year15"
"nc22_1996_-1_-1","nc22","North Cascades","company creek","1996","1996/06/01","-1","-1","pretreatment_current","0","0","0","-1pre-1"
"nc22_1997_01_00","nc22","North Cascades","company creek","1997","1997/09/18","01","00","burn","1","0","0","01post00"
"nc22_1998_01_01","nc22","North Cascades","company creek","1998","1998/06/27","01","01","burn","1","0","0","01year01"
"nc22_1999_01_02","nc22","North Cascades","company creek","1999","1999/05/30","01","02","burn","1","0","0","01year02"
"nc22_2002_01_05","nc22","North Cascades","company creek","2002","2002/07/17","01","05","burn","1","0","0","01year05"
"nc22_2003_02_01","nc22","North Cascades","company creek","2003","2003/08/14","02","01","thin","0","1","0","02year01"
"nc22_2004_05_00","nc22","North Cascades","company creek","2004","2004/05/23","05","00","thin_burn_burn","2","1","0","05post00"
"nc22_2005_05_01","nc22","North Cascades","company creek","2005","2005/08/13","05","01","thin_burn_burn","2","1","0","05year01"
"nc22_2006_05_02","nc22","North Cascades","company creek","2006","2006/06/04","05","02","thin_burn_burn","2","1","0","05year02"
"nc22_2009_05_05","nc22","North Cascades","company creek","2009","2009/07/13","05","05","thin_burn_burn","2","1","0","05year05"
"nc22_2014_05_10","nc22","North Cascades","company creek","2014","2014/07/07","05","10","thin_burn_burn","2","1","0","05year10"
"nc22_2019_05_15","nc22","North Cascades","company creek","2019","2019/06/03","05","15","thin_burn_burn","2","1","0","05year15"
"nc22_2020_02_02","nc22","North Cascades","company creek","2020","2020/07/30","02","02","thin","0","1","0","02year02"
"nc23_1996_-1_-1","nc23","North Cascades","company creek","1996","1996/06/02","-1","-1","pretreatment_current","0","0","0","-1pre-1"
"nc23_1997_01_00","nc23","North Cascades","company creek","1997","1997/09/20","01","00","burn","1","0","0","01post00"
"nc23_1998_01_01","nc23","North Cascades","company creek","1998","1998/06/29","01","01","burn","1","0","0","01year01"
"nc23_1999_01_02","nc23","North Cascades","company creek","1999","1999/05/31","01","02","burn","1","0","0","01year02"
"nc23_2002_01_05","nc23","North Cascades","company creek","2002","2002/07/18","01","05","burn","1","0","0","01year05"
"nc23_2003_02_01","nc23","North Cascades","company creek","2003","2003/08/19","02","01","thin","0","1","0","02year01"
"nc23_2004_05_00","nc23","North Cascades","company creek","2004","2004/05/23","05","00","thin_burn_burn","2","1","0","05post00"
"nc23_2005_05_01","nc23","North Cascades","company creek","2005","2005/08/15","05","01","thin_burn_burn","2","1","0","05year01"
"nc23_2006_05_02","nc23","North Cascades","company creek","2006","2006/06/05","05","02","thin_burn_burn","2","1","0","05year02"
"nc23_2009_05_05","nc23","North Cascades","company creek","2009","2009/07/10","05","05","thin_burn_burn","2","1","0","05year05"
"nc23_2014_05_10","nc23","North Cascades","company creek","2014","2014/08/05","05","10","thin_burn_burn","2","1","0","05year10"
"nc23_2019_05_15","nc23","North Cascades","company creek","2019","2019/06/04","05","15","thin_burn_burn","2","1","0","05year15"
"nc24_1996_-1_-1","nc24","North Cascades","company creek","1996","1996/08/18","-1","-1","pretreatment_current","0","0","0","-1pre-1"
"nc24_1997_01_00","nc24","North Cascades","company creek","1997","1997/09/19","01","00","burn","1","0","0","01post00"
"nc24_1998_01_01","nc24","North Cascades","company creek","1998","1998/06/28","01","01","burn","1","0","0","01year01"
"nc24_1999_01_02","nc24","North Cascades","company creek","1999","1999/06/10","01","02","burn","1","0","0","01year02"
"nc24_2002_01_05","nc24","North Cascades","company creek","2002","2002/07/20","01","05","burn","1","0","0","01year05"
"nc24_2003_02_01","nc24","North Cascades","company creek","2003","2003/08/15","02","01","thin","0","1","0","02year01"
"nc24_2004_05_00","nc24","North Cascades","company creek","2004","2004/05/23","05","00","thin_burn_burn","2","1","0","05post00"
"nc24_2005_05_01","nc24","North Cascades","company creek","2005","2005/08/15","05","01","thin_burn_burn","2","1","0","05year01"
"nc24_2006_05_02","nc24","North Cascades","company creek","2006","2006/07/16","05","02","thin_burn_burn","2","1","0","05year02"
"nc24_2009_05_05","nc24","North Cascades","company creek","2009","2009/08/23","05","05","thin_burn_burn","2","1","0","05year05"
"nc24_2014_05_10","nc24","North Cascades","company creek","2014","2014/07/06","05","10","thin_burn_burn","2","1","0","05year10"
"nc24_2019_05_15","nc24","North Cascades","company creek","2019","2019/06/29","05","15","thin_burn_burn","2","1","0","05year15"
"nc25_1996_-1_-1","nc25","North Cascades","bullion","1996","1996/06/29","-1","-1","pretreatment_current","0","0","0","-1pre-1"
"nc25_1999_01_00","nc25","North Cascades","bullion","1999","1999/07/09","01","00","burn","1","0","0","01post00"
"nc25_2000_01_01","nc25","North Cascades","bullion","2000","2000/08/16","01","01","burn","1","0","0","01year01"
"nc25_2001_01_02","nc25","North Cascades","bullion","2001","2001/08/03","01","02","burn","1","0","0","01year02"
"nc25_2005_05_00","nc25","North Cascades","bullion","2005","2005/05/08","05","00","thin_burn_burn","2","1","0","05post00"
"nc25_2006_05_01","nc25","North Cascades","bullion","2006","2006/07/18","05","01","thin_burn_burn","2","1","0","05year01"
"nc25_2007_05_02","nc25","North Cascades","bullion","2007","2007/07/15","05","02","thin_burn_burn","2","1","0","05year02"
"nc25_2008_02_02","nc25","North Cascades","bullion","2008","2008/08/21","02","02","thin","0","1","0","02year02"
"nc25_2010_08_05","nc25","North Cascades","bullion","2010","2010/08/20","08","05","thin_thin_burn_burn","2","2","0","08year05"
"nc25_2010_09_00","nc25","North Cascades","bullion","2010","2010/09/18","09","00","thin_thin_burn_burn_burn","3","2","0","09post00"
"nc25_2011_09_01","nc25","North Cascades","bullion","2011","2011/07/10","09","01","thin_thin_burn_burn_burn","3","2","0","09year01"
"nc25_2012_09_02","nc25","North Cascades","bullion","2012","2012/07/09","09","02","thin_thin_burn_burn_burn","3","2","0","09year02"
"nc25_2015_09_05","nc25","North Cascades","bullion","2015","2015/07/17","09","05","thin_thin_burn_burn_burn","3","2","0","09year05"
"nc25_2020_09_10","nc25","North Cascades","bullion","2020","2020/07/05","09","10","thin_thin_burn_burn_burn","3","2","0","09year10"
"nc28_1996_-1_-1","nc28","North Cascades","boulder","1996","1996/06/27","-1","-1","pretreatment_current","0","0","0","-1pre-1"
"nc28_1996_01_00","nc28","North Cascades","boulder","1996","1996/10/01","01","00","burn","1","0","0","01post00"
"nc28_1997_01_01","nc28","North Cascades","boulder","1997","1997/07/12","01","01","burn","1","0","0","01year01"
"nc28_1998_01_02","nc28","North Cascades","boulder","1998","1998/06/12","01","02","burn","1","0","0","01year02"
"nc28_2002_01_06","nc28","North Cascades","boulder","2002","2002/04/17","01","06","burn","1","0","0","01year06"
"nc28_2007_02_01","nc28","North Cascades","boulder","2007","2007/07/31","02","01","thin","0","1","0","02year01"
"nc28_2011_04_15","nc28","North Cascades","boulder","2011","2011/07/11","04","15","thin_burn","1","1","0","04year15"
"nc28_2016_04_20","nc28","North Cascades","boulder","2016","2016/07/14","04","20","thin_burn","1","1","0","04year20"
"nc30_1996_-1_-1","nc30","North Cascades","company creek","1996","1996/08/21","-1","-1","pretreatment_current","0","0","0","-1pre-1"
"nc30_1997_01_00","nc30","North Cascades","company creek","1997","1997/09/20","01","00","burn","1","0","0","01post00"
"nc30_1998_01_01","nc30","North Cascades","company creek","1998","1998/07/06","01","01","burn","1","0","0","01year01"
"nc30_1999_01_02","nc30","North Cascades","company creek","1999","1999/06/11","01","02","burn","1","0","0","01year02"
"nc30_2002_01_05","nc30","North Cascades","company creek","2002","2002/07/21","01","05","burn","1","0","0","01year05"
"nc30_2003_02_01","nc30","North Cascades","company creek","2003","2003/08/16","02","01","thin","0","1","0","02year01"
"nc30_2004_05_00","nc30","North Cascades","company creek","2004","2004/05/23","05","00","thin_burn_burn","2","1","0","05post00"
"nc30_2005_05_01","nc30","North Cascades","company creek","2005","2005/09/12","05","01","thin_burn_burn","2","1","0","05year01"
"nc30_2006_05_02","nc30","North Cascades","company creek","2006","2006/08/14","05","02","thin_burn_burn","2","1","0","05year02"
"nc30_2009_05_05","nc30","North Cascades","company creek","2009","2009/07/11","05","05","thin_burn_burn","2","1","0","05year05"
"nc30_2014_05_10","nc30","North Cascades","company creek","2014","2014/08/04","05","10","thin_burn_burn","2","1","0","05year10"
"nc30_2019_05_15","nc30","North Cascades","company creek","2019","2019/06/30","05","15","thin_burn_burn","2","1","0","05year15"
"nc31_1997_-1_-1","nc31","North Cascades","company creek","1997","1997/06/27","-1","-1","pretreatment_current","0","0","0","-1pre-1"
"nc31_1997_01_00","nc31","North Cascades","company creek","1997","1997/09/21","01","00","burn","1","0","0","01post00"
"nc31_1998_01_01","nc31","North Cascades","company creek","1998","1998/06/29","01","01","burn","1","0","0","01year01"
"nc31_1999_01_02","nc31","North Cascades","company creek","1999","1999/06/12","01","02","burn","1","0","0","01year02"
"nc31_2002_01_05","nc31","North Cascades","company creek","2002","2002/07/21","01","05","burn","1","0","0","01year05"
"nc31_2003_02_01","nc31","North Cascades","company creek","2003","2003/08/16","02","01","thin","0","1","0","02year01"
"nc31_2004_05_00","nc31","North Cascades","company creek","2004","2004/05/23","05","00","thin_burn_burn","2","1","0","05post00"
"nc31_2005_05_01","nc31","North Cascades","company creek","2005","2005/08/12","05","01","thin_burn_burn","2","1","0","05year01"
"nc31_2006_05_02","nc31","North Cascades","company creek","2006","2006/06/06","05","02","thin_burn_burn","2","1","0","05year02"
"nc31_2009_05_05","nc31","North Cascades","company creek","2009","2009/07/10","05","05","thin_burn_burn","2","1","0","05year05"
"nc31_2014_05_10","nc31","North Cascades","company creek","2014","2014/08/04","05","10","thin_burn_burn","2","1","0","05year10"
"nc31_2019_05_15","nc31","North Cascades","company creek","2019","2019/07/01","05","15","thin_burn_burn","2","1","0","05year15"
"nc35_1997_-2_-2","nc35","North Cascades","company creek","1997","1997/07/29","-2","-2","pretreatment_early","0","0","0","-2pre-2"
"nc35_2002_-1_-1","nc35","North Cascades","company creek","2002","2002/07/31","-1","-1","pretreatment_current","0","0","0","-1pre-1"
"nc35_2003_02_01","nc35","North Cascades","company creek","2003","2003/08/26","02","01","thin","0","1","0","02year01"
"nc35_2004_04_00","nc35","North Cascades","company creek","2004","2004/05/22","04","00","thin_burn","1","1","0","04post00"
"nc35_2005_04_01","nc35","North Cascades","company creek","2005","2005/08/14","04","01","thin_burn","1","1","0","04year01"
"nc35_2006_04_02","nc35","North Cascades","company creek","2006","2006/07/15","04","02","thin_burn","1","1","0","04year02"
"nc35_2009_04_05","nc35","North Cascades","company creek","2009","2009/07/03","04","05","thin_burn","1","1","0","04year05"
"nc35_2014_04_10","nc35","North Cascades","company creek","2014","2014/07/06","04","10","thin_burn","1","1","0","04year10"
"nc35_2019_04_15","nc35","North Cascades","company creek","2019","2019/07/02","04","15","thin_burn","1","1","0","04year15"
"nc35_2020_02_02","nc35","North Cascades","company creek","2020","2020/07/30","02","02","thin","0","1","0","02year02"
"nc36_1997_-2_-2","nc36","North Cascades","company creek","1997","1997/07/17","-2","-2","pretreatment_early","0","0","0","-2pre-2"
"nc36_2002_-1_-1","nc36","North Cascades","company creek","2002","2002/07/31","-1","-1","pretreatment_current","0","0","0","-1pre-1"
"nc36_2003_02_01","nc36","North Cascades","company creek","2003","2003/08/27","02","01","thin","0","1","0","02year01"
"nc36_2004_04_00","nc36","North Cascades","company creek","2004","2004/05/21","04","00","thin_burn","1","1","0","04post00"
"nc36_2005_04_01","nc36","North Cascades","company creek","2005","2005/08/14","04","01","thin_burn","1","1","0","04year01"
"nc36_2006_04_02","nc36","North Cascades","company creek","2006","2006/09/22","04","02","thin_burn","1","1","0","04year02"
"nc36_2009_04_05","nc36","North Cascades","company creek","2009","2009/07/28","04","05","thin_burn","1","1","0","04year05"
"nc36_2014_04_10","nc36","North Cascades","company creek","2014","2014/07/05","04","10","thin_burn","1","1","0","04year10"
"nc36_2019_04_15","nc36","North Cascades","company creek","2019","2019/08/02","04","15","thin_burn","1","1","0","04year15"
"nc36_2020_02_02","nc36","North Cascades","company creek","2020","2020/07/30","02","02","thin","0","1","0","02year02"
"nc37_1997_-2_-2","nc37","North Cascades","company creek","1997","1997/07/16","-2","-2","pretreatment_early","0","0","0","-2pre-2"
"nc37_2002_-1_-1","nc37","North Cascades","company creek","2002","2002/08/01","-1","-1","pretreatment_current","0","0","0","-1pre-1"
"nc37_2003_02_01","nc37","North Cascades","company creek","2003","2003/08/27","02","01","thin","0","1","0","02year01"
"nc37_2004_04_00","nc37","North Cascades","company creek","2004","2004/05/22","04","00","thin_burn","1","1","0","04post00"
"nc37_2005_04_01","nc37","North Cascades","company creek","2005","2005/08/14","04","01","thin_burn","1","1","0","04year01"
"nc37_2006_04_02","nc37","North Cascades","company creek","2006","2006/09/23","04","02","thin_burn","1","1","0","04year02"
"nc37_2009_04_05","nc37","North Cascades","company creek","2009","2009/08/22","04","05","thin_burn","1","1","0","04year05"
"nc37_2014_04_10","nc37","North Cascades","company creek","2014","2014/07/04","04","10","thin_burn","1","1","0","04year10"
"nc37_2019_04_15","nc37","North Cascades","company creek","2019","2019/08/11","04","15","thin_burn","1","1","0","04year15"
"nc37_2020_02_02","nc37","North Cascades","company creek","2020","2020/07/30","02","02","thin","0","1","0","02year02"
"nc38_2001_-1_-1","nc38","North Cascades","bullion","2001","2001/08/01","-1","-1","pretreatment_current","0","0","0","-1pre-1"
"nc38_2002_02_01","nc38","North Cascades","bullion","2002","2002/08/05","02","01","thin","0","1","0","02year01"
"nc38_2005_04_00","nc38","North Cascades","bullion","2005","2005/05/05","04","00","thin_burn","1","1","0","04post00"
"nc38_2007_04_02","nc38","North Cascades","bullion","2007","2007/07/30","04","02","thin_burn","1","1","0","04year02"
"nc38_2008_02_02","nc38","North Cascades","bullion","2008","2008/08/09","02","02","thin","0","1","0","02year02"
