"plot_visit","status","basal_area","density","qmd"
"nc01_1996_-2_-2","l",21.2,630,20.7
"nc01_1996_-2_-2","d",0.1,20,9
"nc01_2000_-1_-1","l",15.5,290,26.1
"nc01_2000_-1_-1","d",4.8,40,39
"nc01_2001_02_01","l",14.7,250,27.3
"nc01_2001_02_01","d",5.5,70,31.7
"nc01_2003_04_01","l",15.3,250,27.9
"nc01_2003_04_01","d",0.1,10,12
"nc01_2004_04_02","l",16.4,250,28.9
"nc01_2004_04_02","d",0.1,10,11.9
"nc01_2007_04_05","l",15.6,250,28.2
"nc01_2007_04_05","d",0.4,30,15.7
"nc02_1996_-2_-2","l",22,740,19.4
"nc02_1996_-2_-2","d",0.8,20,22.7
"nc02_2000_-1_-1","l",23,680,20.8
"nc02_2000_-1_-1","d",1,50,16.4
"nc02_2001_02_01","l",1.6,560,6.1
"nc02_2001_02_01","d",0.5,170,5.9
"nc02_2003_04_10","l",19.2,540,21.3
"nc02_2003_04_10","d",1.1,70,14.1
"nc02_2004_04_02","l",19,530,21.4
"nc02_2004_04_02","d",1.2,70,15
"nc02_2007_04_15","l",18.6,490,22
"nc02_2007_04_15","d",2,60,20.9
"nc04_1997_-1_-1","l",41.7,950,23.6
"nc04_1997_-1_-1","d",4.6,180,18.2
"nc04_1998_01_06","l",38.1,740,25.6
"nc04_1998_01_06","d",5.1,320,14.4
"nc04_1999_01_02","l",37,680,26.3
"nc04_1999_01_02","d",8.2,390,16.3
"nc04_2002_02_01","l",22.4,280,31.9
"nc04_2002_02_01","d",9.8,330,19.4
"nc04_2002_04_05","l",22.4,280,31.9
"nc04_2002_04_05","d",9.8,330,19.4
"nc04_2004_05_01","l",85,230,68.6
"nc04_2004_05_01","d",0.2,280,23.3
"nc04_2005_05_02","l",18.2,230,31.8
"nc04_2005_05_02","d",0.2,270,25.4
"nc04_2008_05_05","l",18.2,220,32.5
"nc04_2008_05_05","d",0.1,200,28.2
"nc04_2013_05_10","l",19.2,270,30
"nc04_2013_05_10","d",0,200,28.8
"nc04_2018_05_15","l",20,280,30.2
"nc04_2018_05_15","d",0,200,28.8
"nc05_1997_-1_-1","l",51.3,460,37.7
"nc05_1997_-1_-1","d",2,30,29.2
"nc05_1998_01_01","l",48.4,450,37
"nc05_1998_01_01","d",3.6,30,39.4
"nc05_1999_01_02","l",43.5,430,35.9
"nc05_1999_01_02","d",8.3,60,41.9
"nc05_2002_02_01","l",30.8,230,41.3
"nc05_2002_02_01","d",0,60,44.4
"nc05_2002_04_05","l",30.8,230,41.3
"nc05_2002_04_05","d",0,60,44.4
"nc05_2004_05_01","l",28.2,210,41.4
"nc05_2004_05_01","d",9.6,60,45.1
"nc05_2005_05_02","l",29,240,41
"nc05_2005_05_02","d",0,70,45.2
"nc05_2008_05_05","l",25.4,190,41.3
"nc05_2008_05_05","d",0,100,44.7
"nc05_2013_05_10","l",25.3,180,42.3
"nc05_2013_05_10","d",0,90,46.2
"nc05_2018_05_15","l",25.3,170,43.6
"nc05_2018_05_15","d",0,110,43
"nc06_1996_-1_-1","l",27.7,230,39.2
"nc06_1996_01_00","l",27.7,230,39.2
"nc06_1997_01_01","l",26.2,210,39.9
"nc06_1997_01_01","d",1.5,20,31
"nc06_1998_01_02","l",26,190,41.7
"nc06_1998_01_02","d",2.9,40,29.9
"nc06_2002_01_05","l",24.9,150,46
"nc06_2002_01_05","d",2.3,40,27
"nc06_2002_01_06","l",24.9,150,46
"nc06_2002_01_06","d",2.3,40,27
"nc06_2007_02_01","l",19.2,120,45.2
"nc06_2007_02_01","d",8.2,50,45.6
"nc06_2011_04_15","l",20.3,120,46.4
"nc06_2011_04_15","d",8.1,40,50.8
"nc06_2016_04_20","l",20.8,130,45.2
"nc06_2016_04_20","d",8.1,40,50.8
"nc07_1996_-1_-1","l",31.5,300,36.5
"nc07_1996_-1_-1","d",5.5,40,41.9
"nc07_1996_01_00","l",31.5,300,36.5
"nc07_1996_01_00","d",5.5,40,41.9
"nc07_1997_01_01","l",31.1,260,39.1
"nc07_1997_01_01","d",0.4,50,9.5
"nc07_1998_01_02","l",30.5,240,40.2
"nc07_1998_01_02","d",0.8,60,12.9
"nc07_2002_01_05","l",31.5,250,40.1
"nc07_2002_01_05","d",0.7,30,17.2
"nc07_2002_01_06","l",31.5,250,40.1
"nc07_2002_01_06","d",0.7,30,17.2
"nc07_2007_02_01","l",31.2,120,57.5
"nc07_2011_04_15","l",32.4,120,58.6
"nc07_2011_04_15","d",4.2,10,72.7
"nc07_2016_04_20","l",25.1,90,59.6
"nc07_2016_04_20","d",11.7,50,61
"nc08_1996_-1_-1","l",21.3,230,34.3
"nc08_1996_-1_-1","d",2.4,10,55.5
"nc08_1996_01_00","l",21.2,220,35
"nc08_1996_01_00","d",2.5,20,40.2
"nc08_1997_01_01","l",21.1,210,35.8
"nc08_1997_01_01","d",0.1,10,12.4
"nc08_1998_01_02","l",20.5,200,36.2
"nc08_1998_01_02","d",1.4,20,30.7
"nc08_2002_01_05","l",21.4,210,36
"nc08_2002_01_05","d",1.3,10,41.4
"nc08_2002_01_06","l",21.4,210,36
"nc08_2002_01_06","d",1.3,10,41.4
"nc08_2007_02_01","l",20.9,100,51.6
