NOCA Fire Effects Monitoring Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOCA Fire Effects Plot History and Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
updated: 11/22/20 CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burn Unit,Subunit,New Plot  ID,Old Plot ID ,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bullion,5,FPSME2D08-25,FPSME1D08-05,00PRE,,,"RXspr, 01POST",01YR01,01YR02,,THIN,"02YR01, 04YR05","RXspr, 05POST",05YR01,"05YR02, THIN",02YR02, ,"08YR05, RXfall, 09POST",09YR01,09YR02, ,,09YR05,,,,,09YR10,
Bullion,4,FPSME2D08-38,FPSME1D08-18,,,,,,00PRE,"THIN, 02YR01",,,"RXspr, 04POST",04YR01,"04YR02, THIN",02YR01, ,"07YR05, RXfall, 08POST",08YR01,08YR02, ,,08YR05,,,,,08YR10,
Bullion,7,FPSME2D08-44,FPSME2D08-44,,,,,,,,,,"00PRE, THIN,  02YR01, RXspr, 04POST",04YR01,"04YR02, THIN",02YR02, ,07YR05,,,,,07YR10,,,,,07YR15,
Bullion,n/a,FPSME3D08-03,FPSME3D08-03,,00PRE 00PRO,,,,,,,, , , ,,,,, , ,,,,,,,,
Bullion,n/a,FPSME3D08-10,FPSME3D08-10,,00PRE 00PRO,,,,,,,,,, ,,,,, , ,,,,,,,,
McGregor,1,FPSME2D08-41,FPSME2DO8-41,,,,,,,,,,"00PRE,THIN",02YR01, ????, ????, ????, ????, ????, ????, ????, ????, ????, ????, ????, ????,,,
McGregor,2,FPSME2D08-42,FPSME2DO8-42,,,,,,,,,,"00PRE,THIN",02YR01, ????, ????, ????, ????, ????, ????, ????, ????, ????, ????, ????, ????, ????, ????, ????
McGregor,3,FPSME2D08-43,FPSME2DO8-43,,,,,,,,,,"00PRE,THIN",02YR01,,,,,,,,,,,,,,,
McGregor,3,FPSME2D08-45,FPSME2DO8-45,,,,,,,,,,"00PRE,THIN",02YR01,,,,,,,,,,,,,,,
McGregor,3,FPSME2D08-46,FPSME2DO8-46,,,,,,,,,,"00PRE,THIN",02YR01,,,,,,,,,,,,,,,
Upper McGregor,1,FPSME2D08-49,FPSME2DO8-49,,,,,,,,,,,,,,,,,00PRE,,,,,"THIN, 02YR01, PB","03 POST, 03YR01",03YR02,,
Upper McGregor,1,FPSME2D08-50,FPSME2DO8-50,,,,,,,,,,,,,,,,,00PRE, ,,,,,,,,
Upper McGregor,1,FPSME2D08-51,FPSME2DO8-51,,,,,,,,,,,,,,,,,00PRE, ,,,,"THIN, 02YR01",PB,"03POST, 03YR01",03YR02,
Upper McGregor,1,FPSME2D08-56,FPSME2DO8-56,,,,,,,,,,,,,,,,, , ,,00PRE,,"THIN, 02YR01, PB","03 POST, 03PROYR01, PB ",03YR01,03YR02,
Upper McGregor,1,FPSME2D08-60,FPSME2DO8-60,,,,,,,,,,,,,,,,, , ,,00PRE,,"THIN, 02YR01",PB,"03POST, 03YR01",03YR02,
Upper McGregor,1,FPSME2D08-57,FPSME2DO8-57,,,,,,,,,,,,,,,,,,,,,00PRE,"THIN, 02YR01",PB,"03POST, 03YR01",03YR02,
Upper McGregor,1,FPSME2D08-58,FPSME2DO8-58,,,,,,,,,,,,,,,,,,,,,00PRE,"THIN, 02YR01, PB","03 POST, 03YR01",03YR02,,
Lower McGregor,1,FPSME2D08-61,FPSME2DO8-61,,,,,,,,,,,,,,,,,,,,,,,00PRE,,,"RXFall?, 04POST?"
Lower McGregor,1,FPSME2D08-62,FPSME2DO8-62,,,,,,,,,,,,,,,,,,,,,,,00PRE,,,"RXFall?, 04POST?"
Lower McGregor,1,FPSME2D08-59,FPSME2DO8-59,,,,,,,,,,,,,,,,,,,,,,,00PRE,,,"RXFall?, 04POST?"
Orchard Rainbow ,5,FPSME2D08-01,FPSME2D08-01,00PRO01,,,THIN,00PRE,"THIN, 02YR01","RXspr, 04POST",04YR01,04YR02,,,04YR05,,,THIN,," THIN, 04YR10", ,,,,04YR15,"RXFALL, 05POST",05YR01,05YR02,
Orchard Rainbow ,5,FPSME2D08-02,FPSME2D08-02,00PRO01,,,THIN,00PRE,"THIN, 02YR01","RXspr, 04POST",04YR01,04YR02,,,04YR05,,,THIN,," THIN, 04YR10", ,,,,04YR15,"RXFALL, 05POST",05YR01,05YR02,
Orchard Rainbow ,5,FPSME2D08-17,FPSME2D08-17,,,00PRE,,,"THIN, 02YR01","RXspr, 04POST",04YR01,04YR02,,,04YR05,,,THIN,," THIN, 04YR10", ,,,,04YR15,"RXFALL, 05POST",05YR01,05YR02,
Orchard Rainbow ,2,FPSME2D08-19,FPSME3D08-02,,00PRE,,,,,"THIN,  02YR01","RXspr, 04POST",04YR01,04YR02,,,04YR05,,THIN,, ,04YR10,,,,,"04YR15, RXFALL, 05POST",05YR01,05YR02,
Weaver,2,FPSME2D08-39,FPSME2DO8-39,,,,,,,,,,"00PRE, THIN, 02YR01",,"02YR03, RXfall, 04POST",04YR01,04YR02,,,04YR05, ,,,,04YR10,,,,
Weaver,2,FPSME2D08-47,FPSME2D08-47,,,,,,,,,, ,,"00PRE, RXfall, 01POST",04YR01,04YR02,,,04YR05, ,,,,04YR10,,,,
Weaver,2,FPSME2D08-48,FPSME2D08-48,,,,,,,,,, ,,"00PRE, RXfall, 01POST",04YR01,04YR02,,,04YR05, ,,,,04YR10,,,,
Westside Plots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diablo,n/a,FPSME-1,n/a,,,,,,,,,,,,,,,,,,,,,,,00PRE,,,
Diablo,n/a,FPSME-2,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,00PRE
ELC,n/a,FPSME-3,n/a,,,,,,,,,,,,,,,,,,,,,,"00PRE, THIN, PILE",03YR01,"03POST, 03YR02",,
ELC,n/a,FPSME-4,n/a,,,,,,,,,,,,,,,,,,,,,,"00PRE, THIN, PILE",03YR01,"03POST, 03YR02",,
ELC,n/a,FPSME-5,n/a,,,,,,,,,,,,,,,,,,,,,,"00PRE, THIN, PILE",03YR01,"03POST, 03YR02",,
ELC,n/a,FPSME-6,n/a,,,,,,,,,,,,,,,,,,,,,,"00PRE, THIN, PILE",03YR01,"03POST, 03YR02",,
ELC,n/a,FPSME-7,n/a,,,,,,,,,,,,,,,,,,,,,THIN,"00PRO01, PILE",03YR01,"03POST, 03YR02",,
Diablo,n/a,FPSME-8,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,00PRE
Diablo,n/a,FPSME-9,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,00PRE
Diablo,n/a,FPSME-10,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,00PRE
Diablo,n/a,FPSME-11,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,00PRE
Diablo,n/a,FPSME-12,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,00PRE
Diablo,n/a,FPSME-13,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,00PRE
Diablo,n/a,FPSME-14,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,00PRE
Diablo,n/a,FPSME-15,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,00PRE
Contour Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranch ,n/a,FPSME4D10-01,FPSME4D10-01,,,,,,,,,,,00PRE,,,,,,,,,,,,,,,
Ranch ,n/a,FPSME5D09-02,FPSME5D09-02,,,,,,,,,,,00PRE,,,,,,,,,,,,,,,
Ranch ,n/a,FPSME4D10-07,FPSME4D10-07,,,,,,,,,,,,00PRE,,,,,,,,,,,,,,
Ranch ,n/a,FPSME5D09-18,FPSME5D09-18,,,,,,,,,,,,,,00PRE,,,,,,,,,,,,
Ranch ,n/a,FPSME5D09-21,FPSME5D09-21,,,,,,,,,,,,,,00PRE,,,,,,,,,,,,
Buehler,n/a,FPSME4D10-03,FPSME4D10-03,,,,,,,,,,,,00PRE,,,RAINBOW BR. FIRE,"CBI, 01 POST, 01YR01",,,, ,,,,,,
Buehler,n/a,FPSME5D09-08,FPSME5D09-08,,,,,,,,,,,,00PRE,,,RAINBOW BR. FIRE,"CBI, 01 POST, 01YR01",,,, ,,,,,,
Buehler,n/a,FPSME4D10-05,FPSME4D10-05,,,,,,,,,,,,00PRE,,, , ,,,,,,,,,,
Upper Boulder,n/a,FPSME4D10-06,FPSME4D10-06,,,,,,,,,,,,00PRE,,,RAINBOW BR. FIRE,"CBI, 01 POST, 01YR01",,,, ,,,,,,
Upper Boulder,n/a,FPSME5D09-09,FPSME5D09-09,,,,,,,,,,,,00PRE,,,RAINBOW BR. FIRE, ,,,,,,,,,,
