Surface Fuels Summary,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,1000-hr sound,1000-hr rotten,,,,,,,
Macroplot,Monitoring Status,1-hr,10-hr,100-hr,1-100-hr,,,1-1000-hr,Duff,Litter,Total,Duff,Litt,Total
,,|____________________Average Kilograms per Square Meter_______________________|,,,,,,,,,,Avg. Depth (cm),,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
FPIPO1D10-22,10Year01,0.03,0.61,0.89,1.53,0.13,0.03,1.69,1.37,0.31,3.37,0.9,0.9,1.8
FPIPO1D10-22,10Year02,0.03,0.61,1.06,1.70,0.18,0.18,2.06,1.11,0.25,3.41,0.7,0.7,1.4
FPIPO1D10-22,10Year05,0.08,0.49,0.89,1.46,0.13,0.18,1.77,1.96,0.30,4.03,1.3,0.8,2.1
FPIPO1D10-22,13Post,0.02,0.05,0.33,0.39,0.11,0.03,0.53,4.12,0.13,4.78,2.7,0.4,3.0
FPIPO1D10-22,13Year02,0.03,0.15,0.24,0.43,0.13,0.00,0.56,0.66,0.30,1.52,0.4,0.9,1.3
FPIPO1D10-23,00Pre,0.07,0.57,0.50,1.14,0.72,7.98,9.84,3.75,0.69,14.29,2.4,2.0,4.4
FPIPO1D10-23,03Post,0.06,0.36,0.41,0.83,1.83,0.11,2.76,2.69,0.31,5.76,1.7,0.9,2.6
FPIPO1D10-23,03Year01,0.06,0.36,0.41,0.83,1.83,0.11,2.76,2.69,0.31,5.76,1.7,0.9,2.6
FPIPO1D10-23,03Year02,0.04,0.23,0.41,0.68,1.12,1.26,3.07,3.13,0.85,7.05,2.0,2.4,4.4
FPIPO1D10-24,00Pre,0.02,0.51,0.66,1.18,1.75,0.05,2.98,2.24,0.70,5.92,1.4,2.0,3.4
FPIPO1D10-24,03Post,0.02,0.58,0.33,0.94,2.23,0.00,3.17,1.63,0.31,5.11,1.0,0.9,1.9
FPIPO1D10-24,03Year01,0.02,0.58,0.33,0.94,2.22,0.00,3.15,1.36,0.31,4.83,0.9,0.9,1.8
FPIPO1D10-24,03Year02,0.00,0.74,0.25,0.99,3.68,0.00,4.67,3.55,0.61,8.83,2.3,1.7,4.0
FPIPO1D10-24,03Year05,0.05,0.57,0.25,0.86,1.53,1.16,3.55,2.32,0.87,6.74,1.5,2.5,4.0
FPIPO1D10-25,00Pre,0.04,0.14,0.17,0.36,0.91,4.43,5.69,6.63,0.93,13.25,4.3,2.6,6.9
FPIPO1D10-25,03Post,0.03,0.03,0.00,0.07,0.55,4.90,5.52,3.87,0.59,9.98,2.5,1.7,4.2
FPIPO1D10-25,03Year01,0.03,0.03,0.00,0.07,0.55,4.90,5.52,3.87,0.59,9.98,2.5,1.7,4.2
FPIPO1D10-25,03Year02,0.05,0.15,0.00,0.19,0.09,0.88,1.17,5.45,1.52,8.14,3.5,4.3,7.8
FPIPO1D10-25,03Year05,0.05,0.41,0.34,0.79,0.09,0.34,1.23,7.03,0.96,9.22,4.5,2.7,7.2
FPIPO1D10-26,00Pre,0.08,0.45,0.42,0.95,0.06,0.07,1.08,2.29,0.44,3.81,1.5,1.2,2.7
FPIPO1D10-26,03Post,0.04,0.39,0.08,0.51,0.21,0.05,0.78,2.18,0.24,3.19,1.4,0.7,2.1
FPIPO1D10-26,03Year01,0.04,0.39,0.08,0.51,0.21,0.05,0.78,2.18,0.24,3.19,1.4,0.7,2.1
FPIPO1D10-26,03Year02,0.02,0.22,0.00,0.24,0.25,0.24,0.73,3.07,0.26,4.06,2.0,0.7,2.7
FPIPO1D10-26,15Post,0.09,0.61,0.25,0.95,0.03,1.31,2.28,3.26,0.61,6.15,2.1,1.7,3.8
FPIPO1D10-26,15Year01,0.09,0.61,0.25,0.95,0.03,1.31,2.28,3.26,0.61,6.15,2.1,1.7,3.8
FPIPO1D10-26,15Year05,0.03,0.36,0.33,0.72,0.43,0.50,1.66,3.82,0.54,6.01,2.5,1.5,4.0
