Surface Fuels Summary,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,1000-hr sound,1000-hr rotten,,,,,,,
Macroplot,Monitoring Status,1-hr,10-hr,100-hr,1-100-hr,,,1-1000-hr,Duff,Litter,Total,Duff,Litt,Total
,,|____________________Average Kilograms per Square Meter_______________________|,,,,,,,,,,Avg. Depth (cm),,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
FPIPO1D10-40,03Year01,0.00,0.11,0.00,0.11,2.29,1.28,3.68,2.07,0.35,6.11,1.3,1.0,2.3
FPIPO1D10-40,03Year03,0.02,0.11,0.00,0.13,2.51,1.61,4.25,4.72,0.48,9.45,3.0,1.4,4.4
FPIPO1D10-41,00Pre,0.02,0.08,0.08,0.18,0.06,0.46,0.71,2.29,0.96,3.95,1.5,2.7,4.2
FPIPO1D10-41,03Post,0.03,0.11,0.00,0.14,0.03,0.82,0.99,2.18,0.43,3.60,1.4,1.2,2.6
FPIPO1D10-41,03Year02,0.03,0.09,0.00,0.12,0.03,0.82,0.97,2.20,0.43,3.60,1.4,1.2,2.6
FPIPO1D10-41,03Year05,0.01,0.22,0.00,0.23,0.29,1.10,1.62,3.09,0.70,5.40,2.0,2.0,4.0
FPIPO1D10-42,00Pre,0.02,0.55,1.00,1.56,0.10,0.17,1.83,3.39,1.23,6.45,2.2,3.5,5.7
FPIPO1D10-42,03Post,0.06,0.67,0.50,1.22,0.62,30.87,32.72,4.17,0.84,37.73,2.7,2.4,5.1
FPIPO1D10-42,03Year02,0.06,0.67,0.50,1.22,0.06,3.09,4.37,4.17,0.84,9.38,2.7,2.4,5.1
FPIPO1D10-42,03Year05,0.02,0.44,0.93,1.38,0.05,0.26,1.70,4.96,0.92,7.58,3.2,2.6,5.8
FPIPO1D10-43,00Pre,0.03,0.37,0.49,0.89,1.31,1.81,4.02,5.90,0.68,10.59,3.8,1.9,5.7
FPIPO1D10-43,03Post,0.01,0.28,0.41,0.69,1.03,2.19,3.91,4.68,0.71,9.29,3.0,2.0,5.0
FPIPO1D10-43,03Year02,0.01,0.28,0.41,0.69,1.03,2.19,3.91,4.68,0.71,9.29,3.0,2.0,5.0
FPIPO1D10-43,03Year05,0.02,0.44,0.58,1.04,0.00,2.17,3.21,5.08,0.83,9.13,3.3,2.4,5.6
FPIPO1D10-44,00Pre,0.07,0.36,0.49,0.93,0.00,1.05,1.98,3.05,0.53,5.56,2.0,1.5,3.5
FPIPO1D10-44,03Post,0.06,0.21,0.24,0.51,0.00,0.98,1.49,3.09,0.20,4.78,2.0,0.6,2.6
FPIPO1D10-44,03Year02,0.06,0.21,0.24,0.51,0.00,0.44,0.95,3.09,0.20,4.24,2.0,0.6,2.6
FPIPO1D10-44,03Year05,0.04,0.32,0.65,1.01,0.00,0.09,1.10,3.23,0.46,4.79,2.1,1.3,3.4
FPIPO1D10-45,00Pre,0.09,0.30,0.00,0.40,0.00,0.86,1.26,1.64,0.55,3.45,1.1,1.6,2.6
FPIPO1D10-45,03Post,0.04,0.23,0.24,0.51,0.05,0.34,0.90,1.58,0.19,2.67,1.0,0.5,1.5
FPIPO1D10-45,03Year02,0.04,0.23,0.24,0.51,0.05,0.34,0.90,1.67,0.19,2.76,1.1,0.5,1.6
FPIPO1D10-45,03Year05,0.06,0.17,0.24,0.47,0.63,0.17,1.27,3.16,0.47,4.89,2.0,1.3,3.4
FPIPO1D10-46,00Pre,0.03,0.41,0.16,0.60,0.26,0.07,0.93,4.10,0.62,5.65,2.6,1.7,4.4
FPIPO1D10-46,03Post,0.10,0.24,0.57,0.92,0.33,1.33,2.58,2.91,0.66,6.15,1.9,1.9,3.7
FPIPO1D10-46,03Year02,0.10,0.24,0.57,0.92,0.33,1.33,2.58,2.91,0.66,6.15,1.9,1.9,3.7
FPIPO1D10-46,03Year05,0.04,0.35,0.33,0.72,0.05,1.41,2.18,5.04,0.65,7.88,3.2,1.9,5.1
FPIPO1D10-47,02Year01,0.06,0.02,0.08,0.16,0.91,0.00,1.07,2.15,0.46,3.68,1.4,1.3,2.7
FPIPO1D10-47,00PRE,0.03,0.02,0.24,0.29,0.03,0.03,0.35,2.15,0.62,3.12,1.4,1.8,3.1
FPIPO1D10-47,03Post,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0
FPIPO1D10-47,20Year02,0.03,0.00,0.16,0.20,0.03,0.00,0.23,1.45,0.68,2.35,0.9,1.9,2.9
FPIPO1D10-48,02Year01,0.02,0.30,0.82,1.14,3.61,0.00,4.75,3.53,0.81,9.09,2.3,2.3,4.6
FPIPO1D10-48,00PRE,0.03,0.13,0.24,0.40,0.53,0.00,0.93,1.79,0.77,3.49,1.1,2.2,3.3
FPIPO1D10-48,03Post,0.06,0.59,0.33,0.98,0.03,0.24,1.26,4.51,0.69,6.46,2.9,2.0,4.9
FPIPO1D10-48,03Year02,0.06,0.30,0.33,0.69,0.03,0.24,0.96,4.50,0.69,6.15,2.9,2.0,4.9
FPIPO1D10-49,02Year01,0.11,0.36,0.16,0.64,1.91,0.67,3.22,5.29,0.93,9.44,3.4,2.6,6.0
FPIPO1D10-49,00PRE,0.03,0.27,0.16,0.47,0.12,0.49,1.09,2.92,1.50,5.51,1.9,4.3,6.1
FPIPO1D10-49,20Year02,0.01,0.20,0.00,0.20,0.25,0.26,0.72,3.63,1.24,5.58,2.3,3.5,5.8
FPIPO1D10-50,00Pre,0.04,0.14,0.00,0.17,5.72,9.08,14.97,3.30,1.04,19.31,2.1,2.9,5.1
FPIPO1D10-50,03Post,0.04,0.24,0.16,0.44,0.13,0.07,0.65,3.09,0.62,4.36,2.0,1.8,3.8
FPIPO1D10-50,03Year02,0.04,0.24,0.16,0.44,8.64,4.95,14.03,3.09,0.62,17.74,2.0,1.8,3.8
FPIPO1D10-51,00Pre,0.03,0.47,0.33,0.83,1.48,0.81,3.11,4.97,0.60,8.68,3.2,1.7,4.9
FPIPO1D10-51,03Post,0.07,0.41,0.08,0.56,1.37,0.46,2.40,3.86,0.69,6.94,2.5,2.0,4.4
FPIPO1D10-51,03Year02,0.07,0.41,0.08,0.56,1.37,0.46,2.40,3.86,0.69,6.94,2.5,2.0,4.4
FPIPO1D10-52,00Pre,0.10,1.00,0.33,1.43,0.63,0.10,2.15,4.09,0.68,6.93,2.6,1.9,4.6
FPIPO1D10-52,03Post,0.04,0.56,0.24,0.85,0.73,0.25,1.83,3.86,0.76,6.45,2.5,2.1,4.6
FPIPO1D10-52,03Year02,0.04,0.56,0.24,0.85,0.73,0.25,1.83,3.86,0.76,6.45,2.5,2.1,4.6
FPIPO1D10-53,00Pre,0.01,0.20,0.66,0.87,0.97,0.95,2.79,1.98,0.33,5.10,1.3,0.9,2.2
FPIPO1D10-53,03Post,0.01,0.15,0.08,0.25,0.11,0.52,0.88,1.13,0.78,2.79,0.7,2.2,2.9
FPIPO1D10-53,03Year02,0.01,0.15,0.08,0.25,0.11,0.52,0.88,1.13,0.80,2.81,0.7,2.3,3.0
FPIPO1D10-54,00Pre,0.00,0.09,0.16,0.26,3.68,0.29,4.24,2.83,0.38,7.45,1.8,1.1,2.9
FPIPO1D10-54,03Post,0.01,0.22,0.57,0.80,0.04,0.44,1.29,1.55,0.73,3.57,1.0,2.1,3.1
FPIPO1D10-54,03Year02,0.01,0.22,0.57,0.80,0.05,0.47,1.32,1.55,0.73,3.60,1.0,2.1,3.1
FPIPO1D10-55,00Pre,0.00,0.17,0.00,0.17,1.57,0.28,2.03,3.59,0.47,6.09,2.3,1.3,3.6
FPIPO1D10-55,03Post,0.03,0.22,0.00,0.24,0.09,1.34,1.67,3.22,0.84,5.73,2.1,2.4,4.5
FPIPO1D10-55,03Year02,0.03,0.22,0.00,0.24,0.09,1.34,1.67,3.32,0.84,5.83,2.1,2.4,4.5
FPIPO1D10-56,00Pre,0.05,0.26,0.00,0.31,0.00,0.03,0.33,4.42,0.50,5.25,2.8,1.4,4.3
FPIPO1D10-56,03Post,0.04,0.24,0.00,0.28,0.00,0.00,0.28,3.29,0.68,4.24,2.1,1.9,4.0
FPIPO1D10-56,03Year02,0.04,0.24,0.00,0.28,0.00,0.00,0.28,3.29,0.70,4.27,2.1,2.0,4.1
FPIPO1D10-57,00Pre,0.08,0.44,0.49,1.01,0.03,0.16,1.21,3.28,0.88,5.37,2.1,2.5,4.6
FPIPO1D10-58,00Pre,0.02,0.11,0.16,0.29,0.50,6.89,7.68,6.75,0.87,15.30,4.3,2.5,6.8
FPIPO1D10-59,00Pre,0.02,0.27,0.00,0.30,1.61,1.74,3.65,6.38,1.02,11.06,4.1,2.9,7.0
FPIPO1D10-60,00Pre,0.02,0.55,0.24,0.81,2.29,2.08,5.18,2.91,0.73,8.82,1.9,2.1,3.9
FPIPO2D10-01,00Pre,0.02,0.08,0.00,0.09,0.00,0.00,0.09,3.08,0.34,3.51,2.0,1.0,2.9
FPIPO2D10-01,03Post,0.02,0.08,0.08,0.18,0.00,0.00,0.18,1.35,0.16,1.69,0.9,0.5,1.3
FPIPO2D10-01,03Year01,0.02,0.08,0.08,0.18,0.00,0.00,0.18,1.35,0.16,1.69,0.9,0.5,1.3
FPIPO2D10-01,03Year02,0.00,0.15,0.00,0.15,0.00,0.03,0.18,4.50,0.55,5.23,2.9,1.6,4.5
FPIPO2D10-01,03Year05,0.02,0.05,0.16,0.22,0.00,0.00,0.22,2.48,0.24,2.94,1.6,0.7,2.3
FPIPO2D10-02,00Pre,0.02,0.06,0.16,0.24,1.97,1.16,3.37,3.39,0.39,7.15,2.2,1.1,3.3
FPIPO2D10-02,03Post,0.01,0.12,0.08,0.22,2.28,1.03,3.52,2.22,0.26,6.01,1.4,0.7,2.2
FPIPO2D10-02,03Year01,0.01,0.12,0.08,0.22,2.28,1.03,3.52,2.22,0.26,6.01,1.4,0.7,2.2
FPIPO2D10-02,03Year02,0.01,0.24,0.08,0.33,3.26,0.86,4.45,3.21,0.30,7.95,2.1,0.8,2.9
FPIPO2D10-02,03Year05,0.06,0.17,0.41,0.63,1.72,0.56,2.91,1.49,0.31,4.71,1.0,0.9,1.8
FPIPO2D10-03,00Pre,0.03,0.06,0.00,0.09,2.21,0.81,3.11,2.97,0.42,6.50,1.9,1.2,3.1
FPIPO2D10-03,03Post,0.07,0.17,0.08,0.32,0.54,1.02,1.88,1.42,0.17,3.48,0.9,0.5,1.4
FPIPO2D10-03,03Year01,0.07,0.17,0.08,0.32,0.54,1.02,1.88,1.42,0.17,3.48,0.9,0.5,1.4
FPIPO2D10-03,03Year02,0.07,0.09,0.08,0.25,0.46,1.20,1.90,3.62,0.63,6.16,2.3,1.8,4.1
FPIPO2D10-03,03Year05,0.06,0.11,0.08,0.25,0.00,1.32,1.57,3.29,0.36,5.22,2.1,1.0,3.1
