MacroPlot Purpose,MacroPlot UTM X,MacroPlot UTM Y,MacroPlot UTM Zone,MacroPlot Name,Monitoring Status,Date,Index,Transect,SampLoc,OffSet,LittDep,DuffDep,FuelbedDep,DLFuConSt,Comment,UV1,UV2,UV3,NumTran,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Visited
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,00Pre,6/11/2010 8:51,-2147483620,3,40,FALSE,2,2.1,,LARO,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,00Pre,6/11/2010 8:51,-2147483619,3,45,FALSE,1.4,3.8,,LARO,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,00Pre,6/11/2010 8:51,-2147483618,4,1,FALSE,2.4,2.4,,LARO,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,00Pre,6/11/2010 8:51,-2147483617,4,5,FALSE,2.1,2.2,,LARO,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,00Pre,6/11/2010 8:51,-2147483616,4,10,FALSE,0.8,0.6,,LARO,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,00Pre,6/11/2010 8:51,-2147483615,4,15,FALSE,0.7,0.2,,LARO,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,00Pre,6/11/2010 8:51,-2147483614,4,20,FALSE,2.5,1.8,,LARO,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,00Pre,6/11/2010 8:51,-2147483613,4,25,FALSE,1.1,2.5,,LARO,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,00Pre,6/11/2010 8:51,-2147483612,4,30,TRUE,1.2,2.9,,LARO,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,00Pre,6/11/2010 8:51,-2147483611,4,35,FALSE,1.8,1.9,,LARO,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,00Pre,6/11/2010 8:51,-2147483610,4,40,FALSE,1.7,1.4,,LARO,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,00Pre,6/11/2010 8:51,-2147483609,4,45,FALSE,1.4,1.5,,LARO,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,03Post,5/26/2013 9:53,,,,,,,,,,,,,4,,,,,,,TRUE
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,03Post,5/26/2013 9:53,-2147483648,1,1,FALSE,0.2,0.4,,LARO,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,03Post,5/26/2013 9:53,-2147483647,1,5,FALSE,0.3,0.1,,LARO,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,03Post,5/26/2013 9:53,-2147483646,1,10,FALSE,0.2,0.3,,LARO,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,03Post,5/26/2013 9:53,-2147483645,1,15,FALSE,0.3,0.5,,LARO,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,03Post,5/26/2013 9:53,-2147483644,1,20,FALSE,0.2,0.4,,LARO,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,03Post,5/26/2013 9:53,-2147483643,1,25,FALSE,0.3,1.1,,LARO,,,,,,,,,,,,
