Macroplot,Monitoring Status,1-hr,10-hr,100-hr,1-100-hr,1000-hr sound,1000-hr rotten,1-1000-hr,Duff,Litter,Total,Duff,Litt,Total
FPSME2D08-53,04Post,0.01,0.07,0,0.08,0.13,0.18,0.39,0.27,0.48,1.14,0.2,0.5,0.7
FPSME2D08-53,04Year01,0.05,0.1,0,0.15,0.28,0,0.43,0.05,0.4,0.88,0,0.4,0.5
FPSME2D08-53,04Year02,0.08,0.1,0,0.18,0,0.3,0.48,1.14,0.84,2.47,0.7,0.9,1.6
FPSME2D08-53,02Year00,0.29,0.9,0.45,1.64,0.91,0.49,3.04,2.35,1.71,7.1,1.5,1.8,3.4
FPSME2D08-54,04Post,0.06,0.14,0.13,0.33,0.08,0.31,0.72,1.17,0.75,2.64,0.8,0.8,1.6
FPSME2D08-54,04Year01,0.06,0.12,0.06,0.24,0.03,0.32,0.6,0.66,0.7,1.96,0.4,0.7,1.2
FPSME2D08-54,04Year02,0.05,0.2,0.13,0.38,0.35,0.11,0.83,1,0.92,2.75,0.7,1,1.6
FPSME2D08-54,02Year00,0.1,0.26,0.06,0.43,0.03,0.55,1.01,1.06,1.61,3.67,0.7,1.7,2.4
FPSME2D08-55,04Post,0.07,0.46,0.13,0.66,0.27,0,0.93,1.06,0.81,2.8,0.7,0.9,1.5
FPSME2D08-55,04Year01,0.06,0.39,0.32,0.78,0.2,0,0.97,0.31,0.61,1.89,0.2,0.6,0.9
FPSME2D08-55,04Year02,0.08,0.3,0.39,0.77,0.16,0.04,0.96,0.99,0.66,2.61,0.6,0.7,1.3
FPSME2D08-55,02Year00,0.16,0.69,0.71,1.57,0.69,1.57,3.82,2.34,1.05,7.21,1.5,1.1,2.6
FPSME2D08-56,00Pre,0.12,0.62,0.97,1.71,3.86,0.97,6.53,3.55,1.65,11.74,2.3,1.7,4.1
FPSME2D08-56,02Year01,0.09,0.56,0.45,1.11,4.68,2.17,7.96,3.88,1.76,13.6,2.5,1.9,4.4
FPSME2D08-56,03Post,0.11,0.55,1.23,1.89,6.39,1.17,9.44,3.5,1.28,14.22,2.3,1.4,3.6
FPSME2D08-56,03Year02,0.12,0.62,0.84,1.59,5.02,1.94,8.55,3.7,1.74,13.99,2.4,1.8,4.3
FPSME2D08-57,00Pre,0.13,0.58,0.26,0.97,0.3,5.73,7,3.65,1.56,12.22,2.4,1.7,4.1
FPSME2D08-57,02Year01,0.18,1.06,0.65,1.89,2.11,0.85,4.85,3.52,1.5,9.88,2.3,1.6,3.9
FPSME2D08-57,03Post,0.12,0.73,0.71,1.56,0.31,2.24,4.1,3.24,1.97,9.32,2.1,2.1,4.2
FPSME2D08-57,03Year02,0.09,0.58,1.62,2.29,1.57,0.49,4.34,3.75,1.82,9.91,2.5,1.9,4.4
FPSME2D08-58,00Pre,0.03,0.28,0.13,0.43,0.58,7.84,8.85,5.42,1.12,15.39,3.6,1.2,4.7
FPSME2D08-58,02Year01,0.04,0.52,0.13,0.69,1.41,4.9,6.99,3.82,1.55,12.37,2.5,1.6,4.2
FPSME2D08-58,03Post,0.05,0.38,0.19,0.62,3.46,3.78,7.87,1.52,1.8,11.18,1,1.9,2.9
FPSME2D08-58,03Year02,0.04,0.39,0.26,0.69,0.61,5.11,6.4,4.7,2.42,13.52,3.1,2.6,5.6
FPSME2D08-59,00Pre,0.14,0.45,1.3,1.89,0.41,0.72,3.02,5.77,1.46,10.25,3.8,1.5,5.3
FPSME2D08-60,02Year01,0.09,0.29,0.1,0.49,1.55,0.71,2.74,4.68,1.44,8.86,3.1,1.5,4.6
FPSME2D08-60,03Post,0.14,0.15,0.11,0.4,3.84,1.39,5.63,4.75,2.32,12.7,3.1,2.5,5.6
FPSME2D08-60,03Year02,0.11,0.28,0.15,0.53,3.85,1.3,5.68,4.71,2.08,12.47,3.1,2.2,5.3
FPSME2D08-61,00PRO01,0.06,0.59,0.72,1.37,1.1,1.54,4.01,1.58,1.23,6.83,1,1.3,2.3
FPSME2D08-62,00Pre,0.17,0.39,0.06,0.63,0,0.14,0.77,3.4,2.36,6.53,2.2,2.5,4.7
